state_name,county_fips,county_name,votes_gop_2020,votes_dem_2020,total_votes_2020,diff_2020,per_gop_2020,per_dem_2020,per_point_diff_2020,votes_gop_2024,votes_dem_2024,total_votes_2024,diff_2024,per_gop_2024,per_dem_2024,per_point_diff_2024,county_dem_total_2020,county_dem_total_2024,county_total_votes_2020,county_total_votes_2024,county_region,county_dem_percent_2020,county_dem_percent_2024,county_dem_share_2020,county_dem_share_2024,county_change_dem_percent,county_z_score,county_p_value_two_tailed,county_statistically_significant
New York,36039,Greene County,14271,10346,25194,3925,0.5664443915217909,0.4106533301579741,0.1557910613638168,14702,10436,25138,4266.0,0.5848516190627735,0.4151483809372265,0.169703238125547,10346,10436,25194,25138,upstate,41.065333015797414,41.51483809372265,0.4106533301579741,0.4151483809372265,0.4495050779252381,-1.0241137727421705,0.3057815398650445,no
New York,36041,Hamilton County,2225,1178,3460,1047,0.6430635838150289,0.3404624277456647,0.3026011560693641,2223,1211,3434,1012.0,0.6473500291205592,0.3526499708794409,0.2947000582411183,1178,1211,3460,3434,upstate,34.04624277456648,35.26499708794409,0.34046242774566476,0.3526499708794409,1.2187543133776089,-1.0632478851707055,0.2876695520039032,no
New York,36043,Herkimer County,18870,9937,29319,8933,0.6436099457689552,0.3389269756812988,0.3046829700876564,19557,9110,28667,10447.0,0.6822129975232846,0.3177870024767154,0.3644259950465692,9937,9110,29319,28667,upstate,33.89269756812988,31.778700247671537,0.3389269756812988,0.3177870024767154,-2.1139973204583455,5.419085711106224,5.990459484017663e-08,yes
New York,36045,Jefferson County,25629,17307,43848,8322,0.5844964422550629,0.3947044334975369,0.189792008757526,26417,16326,42743,10091.0,0.618042720445453,0.3819572795545469,0.2360854408909061,17307,16326,43848,42743,upstate,39.470443349753694,38.19572795545469,0.3947044334975369,0.38195727955454695,-1.274715394299001,3.847763865423046,0.00011920086221328674,yes
New York,36047,Kings County,202772,703310,913246,-500538,0.2220343697098043,0.7701210845708604,-0.548086714861056,233964,601265,835229,-367301.0,0.2801195839703841,0.7198804160296158,-0.4397608320592316,703310,601265,913246,835229,downstate,77.01210845708604,71.98804160296159,0.7701210845708604,0.7198804160296158,-5.024066854124456,76.24382868590841,0.0,yes
New York,36049,Lewis County,8894,3824,12944,5070,0.6871137206427689,0.2954264524103832,0.3916872682323857,9353,3600,12953,5753.0,0.7220721068478345,0.2779278931521655,0.444144213695669,3824,3600,12944,12953,upstate,29.54264524103832,27.792789315216552,0.2954264524103832,0.27792789315216554,-1.749855925821766,3.1135708966324582,0.0018483809614515678,yes
New York,36051,Livingston County,18182,12477,31401,5705,0.5790261456641508,0.3973440336295022,0.1816821120346485,18780,12148,30928,6632.0,0.6072167615106053,0.3927832384893947,0.2144335230212106,12477,12148,31401,30928,upstate,39.734403362950225,39.27832384893947,0.39734403362950227,0.3927832384893947,-0.456079514010753,1.164532114456355,0.244208436630172,no
New York,36053,Madison County,18408,14807,34038,3601,0.5408073329807862,0.4350138080968329,0.1057935248839532,19025,14629,33654,4396.0,0.565311701432222,0.4346882985677779,0.130623402864444,14807,14629,34038,33654,upstate,43.50138080968329,43.468829856777795,0.43501380809683293,0.43468829856777796,-0.03255095290549548,0.08541685271471651,0.9319299955973632,no
New York,36055,Monroe County,145661,225746,380983,-80085,0.3823293952748547,0.5925356249491447,-0.2102062296742899,145940,214757,360697,-68817.0,0.4046055276312251,0.5953944723687749,-0.1907889447375497,225746,214757,380983,360697,upstate,59.25356249491447,59.539447236877486,0.5925356249491447,0.5953944723687749,0.2858847419630166,-2.505751437375694,0.01221914853148609,yes
New York,36057,Montgomery County,12745,7977,21134,4768,0.6030566859089619,0.3774486609255228,0.225608024983439,13286,7356,20642,5930.0,0.643639182249782,0.356360817750218,0.287278364499564,7977,7356,21134,20642,upstate,37.744866092552286,35.6360817750218,0.37744866092552287,0.356360817750218,-2.1087843175304855,4.470883964325345,7.789695609883296e-06,yes
New York,36059,Nassau County,326716,396504,732756,-69788,0.445872841709928,0.5411132764521888,-0.0952404347422607,368117,338424,706541,29693.0,0.5210129348473762,0.4789870651526238,0.0420258696947523,396504,338424,732756,706541,downstate,54.11132764521888,47.89870651526238,0.5411132764521888,0.47898706515262385,-6.212621129956496,74.53769208853396,0.0,yes
New York,36061,New York County,85185,603040,694904,-517855,0.1225852779664529,0.86780332247332,-0.7452180445068671,113921,533782,647703,-419861.0,0.1758846261326564,0.8241153738673436,-0.6482307477346871,603040,533782,694904,647703,downstate,86.780332247332,82.41153738673435,0.86780332247332,0.8241153738673436,-4.368794860597646,70.21556162483199,0.0,yes
New York,36063,Niagara County,56068,46029,104080,10039,0.5387009992313605,0.4422463489623366,0.0964546502690238,58678,43438,102116,15240.0,0.5746210192330291,0.4253789807669709,0.1492420384660582,46029,43438,104080,102116,upstate,44.22463489623367,42.53789807669709,0.44224634896233667,0.4253789807669709,-1.686736819536577,7.726755366128452,1.1102230246251565e-14,yes
New York,36065,Oneida County,57180,41567,100746,15613,0.5675659579536656,0.4125920632084648,0.1549738947452007,60687,39415,100102,21272.0,0.6062516233441889,0.3937483766558111,0.2125032466883778,41567,39415,100746,100102,upstate,41.25920632084649,39.37483766558111,0.41259206320846487,0.3937483766558111,-1.8843686552653764,8.60780965798363,0.0,yes
